"","date","demand","day","yearday"
"1",2004-01-01,488.07,"星期四","0101"
"2",2004-01-02,582.02,"星期五","0102"
"3",2004-01-03,575.58,"星期六","0103"
"4",2004-01-04,542.39,"星期日","0104"
"5",2004-01-05,600.26,"星期一","0105"
"6",2004-01-06,544.76,"星期二","0106"
"7",2004-01-07,695.58,"星期三","0107"
"8",2004-01-08,718.88,"星期四","0108"
"9",2004-01-09,699.09,"星期五","0109"
"10",2004-01-10,598.39,"星期六","0110"
"11",2004-01-11,544.36,"星期日","0111"
"12",2004-01-12,667.74,"星期一","0112"
"13",2004-01-13,674.28,"星期二","0113"
"14",2004-01-14,681.79,"星期三","0114"
"15",2004-01-15,695.5,"星期四","0115"
"16",2004-01-16,682.89,"星期五","0116"
"17",2004-01-17,590.05,"星期六","0117"
"18",2004-01-18,550.86,"星期日","0118"
"19",2004-01-19,711.75,"星期一","0119"
"20",2004-01-20,734.03,"星期二","0120"
"21",2004-01-21,722.39,"星期三","0121"
"22",2004-01-22,725.8,"星期四","0122"
"23",2004-01-23,703.55,"星期五","0123"
"24",2004-01-24,606.03,"星期六","0124"
"25",2004-01-25,552.42,"星期日","0125"
"26",2004-01-26,682.86,"星期一","0126"
"27",2004-01-27,694.5,"星期二","0127"
"28",2004-01-28,699.76,"星期三","0128"
"29",2004-01-29,711.35,"星期四","0129"
"30",2004-01-30,711.93,"星期五","0130"
"31",2004-01-31,613.69,"星期六","0131"
"32",2004-02-01,550.74,"星期日","0201"
"33",2004-02-02,683.24,"星期一","0202"
"34",2004-02-03,692.09,"星期二","0203"
"35",2004-02-04,686.52,"星期三","0204"
"36",2004-02-05,686.04,"星期四","0205"
"37",2004-02-06,680.31,"星期五","0206"
"38",2004-02-07,602.87,"星期六","0207"
"39",2004-02-08,545.33,"星期日","0208"
"40",2004-02-09,678.39,"星期一","0209"
"41",2004-02-10,700.26,"星期二","0210"
"42",2004-02-11,694.08,"星期三","0211"
"43",2004-02-12,690.11,"星期四","0212"
"44",2004-02-13,686.13,"星期五","0213"
"45",2004-02-14,607.22,"星期六","0214"
"46",2004-02-15,544.83,"星期日","0215"
"47",2004-02-16,688.46,"星期一","0216"
"48",2004-02-17,706.47,"星期二","0217"
"49",2004-02-18,714.23,"星期三","0218"
"50",2004-02-19,717.09,"星期四","0219"
"51",2004-02-20,739.04,"星期五","0220"
"52",2004-02-21,629.8,"星期六","0221"
"53",2004-02-22,561.91,"星期日","0222"
"54",2004-02-23,692.53,"星期一","0223"
"55",2004-02-24,727.64,"星期二","0224"
"56",2004-02-25,725.34,"星期三","0225"
"57",2004-02-26,720.36,"星期四","0226"
"58",2004-02-27,717.22,"星期五","0227"
"59",2004-02-28,628.51,"星期六","0228"
"60",2004-02-29,572.77,"星期日","0229"
"61",2004-03-01,731.02,"星期一","0301"
"62",2004-03-02,758.58,"星期二","0302"
"63",2004-03-03,756.64,"星期三","0303"
"64",2004-03-04,730.81,"星期四","0304"
"65",2004-03-05,698.1,"星期五","0305"
"66",2004-03-06,598.84,"星期六","0306"
"67",2004-03-07,539.99,"星期日","0307"
"68",2004-03-08,673.55,"星期一","0308"
"69",2004-03-09,700.55,"星期二","0309"
"70",2004-03-10,700.85,"星期三","0310"
"71",2004-03-11,691.06,"星期四","0311"
"72",2004-03-12,676.79,"星期五","0312"
"73",2004-03-13,606.64,"星期六","0313"
"74",2004-03-14,533.91,"星期日","0314"
"75",2004-03-15,666.19,"星期一","0315"
"76",2004-03-16,672.67,"星期二","0316"
"77",2004-03-17,673.35,"星期三","0317"
"78",2004-03-18,658.03,"星期四","0318"
"79",2004-03-19,579.05,"星期五","0319"
"80",2004-03-20,547.02,"星期六","0320"
"81",2004-03-21,492.95,"星期日","0321"
"82",2004-03-22,628.62,"星期一","0322"
"83",2004-03-23,665.33,"星期二","0323"
"84",2004-03-24,689.58,"星期三","0324"
"85",2004-03-25,685.94,"星期四","0325"
"86",2004-03-26,696.49,"星期五","0326"
"87",2004-03-27,621.88,"星期六","0327"
"88",2004-03-28,557.89,"星期日","0328"
"89",2004-03-29,698.22,"星期一","0329"
"90",2004-03-30,705.02,"星期二","0330"
"91",2004-03-31,678.71,"星期三","0331"
"92",2004-04-01,673.54,"星期四","0401"
"93",2004-04-02,663.87,"星期五","0402"
"94",2004-04-03,567.76,"星期六","0403"
"95",2004-04-04,503.98,"星期日","0404"
"96",2004-04-05,613.95,"星期一","0405"
"97",2004-04-06,616.83,"星期二","0406"
"98",2004-04-07,609.97,"星期三","0407"
